raw_case_id,project_region,assay_panel,sample_matrix,collection_context,lab_window,collection_month,field_team,primary_issue,secondary_issue,difficulty_tier,interference_axis,split_hint,custody_note,action_manifest,score_trace_json
edna_raw_00010,coastal_marsh,freshwater_mussel,surface_water,storm_pulse,weekend_receipt,11,fir,inhibition,none,medium,distractor,train,"Field team fir logged a surface water eDNA sample from the coastal marsh program for the freshwater mussel panel. matrix spike recovered poorly and the qPCR curve is suppressed The plate map was reprinted after a label smudge, but well positions are legible. Choose the ordered action manifest that best protects reporting quality.",CLEANUP_INHIBITORS|DILUTE_EXTRACT|RERUN_PCR,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 3.1, ""DILUTE_EXTRACT"": 2.65, ""HOLD_REPORT"": 0.25, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 0.2, ""RERUN_PCR"": 1.8, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00011,alpine_lake,salmonid_spawning,filter_membrane,thaw_window,weekend_receipt,10,lichen,inhibition,none,easy,distractor,train,"Field team lichen logged a filter membrane eDNA sample from the alpine lake program for the salmonid spawning panel. internal amplification control is delayed and the extract looks humic The plate map was reprinted after a label smudge, but well positions are legible. The lab needs a ranked remediation plan, not just a pass/fail disposition.",CLEANUP_INHIBITORS|DILUTE_EXTRACT|RERUN_PCR,"{""ACCEPT_REPORT"": 0.27, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 3.45, ""DILUTE_EXTRACT"": 2.7, ""HOLD_REPORT"": 0.25, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 0.45, ""RERUN_PCR"": 1.88}"
edna_raw_00012,farm_ditch,amphibian_pathogen,filter_membrane,post_rain,same_day,6,fir,temp_excursion,none,easy,plain,train,"Accession note for team fir: amphibian pathogen surveillance sample, filter membrane, received during the same day window. cooler logger shows the sample warmed above the custody limit during transport Choose the ordered action manifest that best protects reporting quality.",QUARANTINE_COLD_CHAIN|HOLD_REPORT|RECOLLECT_SAMPLE,"{""ACCEPT_REPORT"": 0.27, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.25, ""ESCALATE_SUPERVISOR"": 1.1, ""HOLD_REPORT"": 1.3, ""QUARANTINE_COLD_CHAIN"": 3.2, ""RECOLLECT_SAMPLE"": 1.15, ""RERUN_PCR"": 0.08}"
edna_raw_00013,farm_ditch,freshwater_mussel,surface_water,storm_pulse,overnight_hold,2,delta,preservation_failure,custody_gap,medium,plain,train,"The farm ditch chain packet describes a surface water bottle collected under storm pulse conditions for freshwater mussel. sample bottle arrived with a loose cap and visible preservative loss the bottle label and custody sheet disagree about the handoff time The lab needs a ranked remediation plan, not just a pass/fail disposition.",RECOLLECT_SAMPLE|CLARIFY_CUSTODY|HOLD_REPORT,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 3.158, ""ESCALATE_SUPERVISOR"": 0.646, ""HOLD_REPORT"": 2.056, ""QUARANTINE_COLD_CHAIN"": 0.9, ""RECOLLECT_SAMPLE"": 3.81, ""RERUN_PCR"": 0.25}"
edna_raw_00014,alpine_lake,freshwater_mussel,sediment_slurry,storm_pulse,weekend_receipt,5,lichen,blank_contamination,none,easy,plain,train,Field team lichen logged a sediment slurry eDNA sample from the alpine lake program for the freshwater mussel panel. negative control was not clean for this plate Choose the ordered action manifest that best protects reporting quality.,REVIEW_BLANKS|REJECT_CONTAMINATION|HOLD_REPORT,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.25, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.45, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 0.2, ""REJECT_CONTAMINATION"": 2.55, ""RERUN_PCR"": 0.25, ""REVIEW_BLANKS"": 3.2}"
edna_raw_00015,peat_wetland,amphibian_pathogen,biofilm_swab,post_rain,field_freezer_delay,11,lichen,preservation_failure,none,easy,distractor,train,The peat wetland chain packet describes a biofilm swab bottle collected under post rain conditions for amphibian pathogen. ethanol line is below the membrane and the hold time is exceeded A spare filter was photographed but not processed. The supervisor wants the next three QA actions before results are released.,RECOLLECT_SAMPLE|HOLD_REPORT|CLARIFY_CUSTODY,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 1.2, ""DILUTE_EXTRACT"": 0.2, ""HOLD_REPORT"": 1.55, ""QUARANTINE_COLD_CHAIN"": 1.15, ""RECOLLECT_SAMPLE"": 3.35, ""RERUN_PCR"": 0.08, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00016,alpine_lake,invasive_carp,sediment_slurry,storm_pulse,field_freezer_delay,9,willow,preservation_failure,panel_mismatch,medium,plain,train,Field team willow logged a sediment slurry eDNA sample from the alpine lake program for the invasive carp panel. ethanol line is below the membrane and the hold time is exceeded primer panel selected at accession conflicts with the field objective Choose the ordered action manifest that best protects reporting quality.,RECOLLECT_SAMPLE|CLARIFY_CUSTODY|REPEAT_TAXON_PANEL,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 2.458, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.25, ""ESCALATE_SUPERVISOR"": 0.646, ""HOLD_REPORT"": 1.72, ""QUARANTINE_COLD_CHAIN"": 1.15, ""RECOLLECT_SAMPLE"": 3.3, ""REPEAT_TAXON_PANEL"": 2.04, ""RERUN_PCR"": 0.25}"
edna_raw_00017,alpine_lake,cyanobacteria_bloom,biofilm_swab,baseflow,field_freezer_delay,4,moraine,replicate_discordance,temp_excursion,medium,distractor,train,"Field team moraine logged a biofilm swab eDNA sample from the alpine lake program for the cyanobacteria bloom panel. only one of three qPCR replicates crossed threshold temperature strip was red on arrival after a long courier leg The plate map was reprinted after a label smudge, but well positions are legible. Choose the ordered action manifest that best protects reporting quality.",RERUN_PCR|QUARANTINE_COLD_CHAIN|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 0.15, ""ESCALATE_SUPERVISOR"": 1.598, ""HOLD_REPORT"": 1.256, ""QUARANTINE_COLD_CHAIN"": 2.426, ""RECOLLECT_SAMPLE"": 0.612, ""REPEAT_TAXON_PANEL"": 1.25, ""RERUN_PCR"": 3.0}"
edna_raw_00018,farm_ditch,invasive_carp,surface_water,baseflow,split_batch,12,moraine,temp_excursion,none,easy,plain,train,"The farm ditch chain packet describes a surface water bottle collected under baseflow conditions for invasive carp. cooler logger shows the sample warmed above the custody limit during transport The lab needs a ranked remediation plan, not just a pass/fail disposition.",QUARANTINE_COLD_CHAIN|HOLD_REPORT|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.27, ""ESCALATE_SUPERVISOR"": 1.1, ""HOLD_REPORT"": 1.3, ""QUARANTINE_COLD_CHAIN"": 3.2, ""RECOLLECT_SAMPLE"": 0.9}"
edna_raw_00019,coastal_marsh,amphibian_pathogen,filter_membrane,thaw_window,field_freezer_delay,4,heron,temp_excursion,blank_contamination,hard,negation,train,The coastal marsh chain packet describes a filter membrane bottle collected under thaw window conditions for amphibian pathogen. temperature strip was red on arrival after a long courier leg extraction blank has a late but repeatable target signal The note also says no action is needed for a separate temp excursion concern. The supervisor wants the next three QA actions before results are released.,QUARANTINE_COLD_CHAIN|HOLD_REPORT|REVIEW_BLANKS,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 0.15, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.45, ""ESCALATE_SUPERVISOR"": 2.096, ""HOLD_REPORT"": 2.488, ""QUARANTINE_COLD_CHAIN"": 3.45, ""RECOLLECT_SAMPLE"": 1.35, ""REJECT_CONTAMINATION"": 1.734, ""RERUN_PCR"": 0.33, ""REVIEW_BLANKS"": 2.256}"
edna_raw_00020,urban_stream,salmonid_spawning,sediment_slurry,algal_bloom_watch,overnight_hold,2,fir,custody_gap,preservation_failure,hard,negation,train,"Accession note for team fir: salmonid spawning surveillance sample, sediment slurry, received during the overnight hold window. chain-of-custody initials are missing between field transfer and lab receipt sample bottle arrived with a loose cap and visible preservative loss The note also says no action is needed for a separate blank contamination concern. Choose the ordered action manifest that best protects reporting quality.",CLARIFY_CUSTODY|RECOLLECT_SAMPLE|HOLD_REPORT,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 3.814, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.25, ""ESCALATE_SUPERVISOR"": 1.3, ""HOLD_REPORT"": 2.306, ""QUARANTINE_COLD_CHAIN"": 0.612, ""RECOLLECT_SAMPLE"": 3.108, ""RERUN_PCR"": 0.08}"
edna_raw_00021,urban_stream,salmonid_spawning,surface_water,post_rain,field_freezer_delay,9,delta,custody_gap,replicate_discordance,hard,plain,train,The urban stream chain packet describes a surface water bottle collected under post rain conditions for salmonid spawning. chain-of-custody initials are missing between field transfer and lab receipt amplification is present in alternating replicates with no stable consensus The supervisor wants the next three QA actions before results are released.,CLARIFY_CUSTODY|RERUN_PCR|HOLD_REPORT,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 3.25, ""ESCALATE_SUPERVISOR"": 1.878, ""HOLD_REPORT"": 1.97, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 1.0, ""REPEAT_TAXON_PANEL"": 0.85, ""RERUN_PCR"": 2.12}"
edna_raw_00022,farm_ditch,salmonid_spawning,filter_membrane,storm_pulse,same_day,7,delta,weather_dilution,none,easy,plain,train,The farm ditch chain packet describes a filter membrane bottle collected under storm pulse conditions for salmonid spawning. field team sampled immediately after heavy rain diluted the reach Choose the ordered action manifest that best protects reporting quality.,RERUN_PCR|RECOLLECT_SAMPLE|ACCEPT_REPORT,"{""ACCEPT_REPORT"": 1.07, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.7, ""RECOLLECT_SAMPLE"": 2.45, ""RERUN_PCR"": 2.58}"
edna_raw_00023,urban_stream,cyanobacteria_bloom,surface_water,baseflow,split_batch,6,moraine,weather_dilution,replicate_discordance,medium,distractor,train,"Accession note for team moraine: cyanobacteria bloom surveillance sample, surface water, received during the split batch window. snowmelt surge changed conductivity and suspended sediment during collection amplification is present in alternating replicates with no stable consensus The site visit was otherwise routine for this project. Choose the ordered action manifest that best protects reporting quality.",RERUN_PCR|RECOLLECT_SAMPLE|ACCEPT_REPORT,"{""ACCEPT_REPORT"": 0.95, ""DILUTE_EXTRACT"": 0.45, ""ESCALATE_SUPERVISOR"": 0.578, ""HOLD_REPORT"": 0.17, ""RECOLLECT_SAMPLE"": 2.0, ""REPEAT_TAXON_PANEL"": 0.85, ""RERUN_PCR"": 4.29}"
edna_raw_00024,farm_ditch,invasive_carp,surface_water,post_rain,weekend_receipt,6,delta,weather_dilution,none,easy,negation,train,"Accession note for team delta: invasive carp surveillance sample, surface water, received during the weekend receipt window. field team sampled immediately after heavy rain diluted the reach The note also says no action is needed for a separate inhibition concern. Choose the ordered action manifest that best protects reporting quality.",RERUN_PCR|RECOLLECT_SAMPLE|ACCEPT_REPORT,"{""ACCEPT_REPORT"": 1.07, ""CLARIFY_CUSTODY"": 0.15, ""DILUTE_EXTRACT"": 0.45, ""HOLD_REPORT"": 0.25, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 2.0, ""RERUN_PCR"": 2.25}"
edna_raw_00025,urban_stream,freshwater_mussel,surface_water,post_rain,overnight_hold,8,sedge,preservation_failure,none,easy,distractor,train,"Accession note for team sedge: freshwater mussel surveillance sample, surface water, received during the overnight hold window. sample bottle arrived with a loose cap and visible preservative loss The site visit was otherwise routine for this project. The lab needs a ranked remediation plan, not just a pass/fail disposition.",RECOLLECT_SAMPLE|HOLD_REPORT|CLARIFY_CUSTODY,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 1.05, ""HOLD_REPORT"": 1.3, ""QUARANTINE_COLD_CHAIN"": 0.9, ""RECOLLECT_SAMPLE"": 3.1}"
edna_raw_00026,coastal_marsh,salmonid_spawning,surface_water,baseflow,overnight_hold,12,willow,replicate_discordance,none,medium,plain,train,Field team willow logged a surface water eDNA sample from the coastal marsh program for the salmonid spawning panel. amplification is present in alternating replicates with no stable consensus Choose the ordered action manifest that best protects reporting quality.,RERUN_PCR|REPEAT_TAXON_PANEL|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.15, ""DILUTE_EXTRACT"": 0.2, ""ESCALATE_SUPERVISOR"": 0.85, ""HOLD_REPORT"": 0.25, ""RECOLLECT_SAMPLE"": 0.25, ""REPEAT_TAXON_PANEL"": 1.25, ""RERUN_PCR"": 3.08, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00027,alpine_lake,freshwater_mussel,biofilm_swab,baseflow,split_batch,1,lichen,blank_contamination,none,medium,cross_context,train,"Field team lichen logged a biofilm swab eDNA sample from the alpine lake program for the freshwater mussel panel. negative control was not clean for this plate Because the sample is tied to baseflow and split batch, the lab treats small quality signals conservatively. The supervisor wants the next three QA actions before results are released.",REVIEW_BLANKS|REJECT_CONTAMINATION|HOLD_REPORT,"{""ACCEPT_REPORT"": 0.15, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.2, ""REJECT_CONTAMINATION"": 2.55, ""REVIEW_BLANKS"": 3.2}"
edna_raw_00028,farm_ditch,freshwater_mussel,sediment_slurry,storm_pulse,split_batch,1,willow,custody_gap,none,medium,cross_context,train,"Accession note for team willow: freshwater mussel surveillance sample, sediment slurry, received during the split batch window. the bottle label and custody sheet disagree about the handoff time Because the sample is tied to storm pulse and split batch, the lab treats small quality signals conservatively. The lab needs a ranked remediation plan, not just a pass/fail disposition.",CLARIFY_CUSTODY|HOLD_REPORT|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 3.1, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.25, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.3, ""RECOLLECT_SAMPLE"": 0.95, ""RERUN_PCR"": 0.25}"
edna_raw_00029,coastal_marsh,amphibian_pathogen,sediment_slurry,storm_pulse,split_batch,5,moraine,preservation_failure,none,medium,distractor,train,Field team moraine logged a sediment slurry eDNA sample from the coastal marsh program for the amphibian pathogen panel. ethanol line is below the membrane and the hold time is exceeded No external source lookup is available to adjudicate the record. The supervisor wants the next three QA actions before results are released.,RECOLLECT_SAMPLE|HOLD_REPORT|CLARIFY_CUSTODY,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 1.05, ""CLEANUP_INHIBITORS"": 0.35, ""DILUTE_EXTRACT"": 0.45, ""HOLD_REPORT"": 1.3, ""QUARANTINE_COLD_CHAIN"": 0.9, ""RECOLLECT_SAMPLE"": 3.55, ""RERUN_PCR"": 0.33, ""REVIEW_BLANKS"": 0.08}"
edna_raw_00030,urban_stream,invasive_carp,surface_water,post_rain,field_freezer_delay,8,fir,blank_contamination,panel_mismatch,hard,distractor,train,"Accession note for team fir: invasive carp surveillance sample, surface water, received during the field freezer delay window. field blank amplified with the same target as the sample sample was queued for the wrong taxon panel The plate map was reprinted after a label smudge, but well positions are legible. The lab needs a ranked remediation plan, not just a pass/fail disposition.",REVIEW_BLANKS|REJECT_CONTAMINATION|REPEAT_TAXON_PANEL,"{""ACCEPT_REPORT"": 0.15, ""CLARIFY_CUSTODY"": 1.408, ""ESCALATE_SUPERVISOR"": 1.946, ""HOLD_REPORT"": 1.87, ""QUARANTINE_COLD_CHAIN"": 0.25, ""REJECT_CONTAMINATION"": 2.55, ""REPEAT_TAXON_PANEL"": 2.04, ""REVIEW_BLANKS"": 3.2}"
edna_raw_00031,farm_ditch,cyanobacteria_bloom,biofilm_swab,storm_pulse,field_freezer_delay,4,moraine,blank_contamination,weather_dilution,hard,plain,train,The farm ditch chain packet describes a biofilm swab bottle collected under storm pulse conditions for cyanobacteria bloom. extraction blank has a late but repeatable target signal field team sampled immediately after heavy rain diluted the reach Choose the ordered action manifest that best protects reporting quality.,REVIEW_BLANKS|REJECT_CONTAMINATION|RERUN_PCR,"{""ACCEPT_REPORT"": 0.694, ""CLARIFY_CUSTODY"": 0.15, ""DILUTE_EXTRACT"": 0.306, ""ESCALATE_SUPERVISOR"": 1.3, ""HOLD_REPORT"": 1.7, ""QUARANTINE_COLD_CHAIN"": 0.25, ""RECOLLECT_SAMPLE"": 1.56, ""REJECT_CONTAMINATION"": 2.55, ""RERUN_PCR"": 1.78, ""REVIEW_BLANKS"": 3.2}"
edna_raw_00032,farm_ditch,invasive_carp,sediment_slurry,post_rain,same_day,8,moraine,inhibition,temp_excursion,hard,negation,train,"Accession note for team moraine: invasive carp surveillance sample, sediment slurry, received during the same day window. matrix spike recovered poorly and the qPCR curve is suppressed ice pack was spent and the receipt temperature was outside the eDNA hold range The note also says no action is needed for a separate custody gap concern. The lab needs a ranked remediation plan, not just a pass/fail disposition.",CLEANUP_INHIBITORS|DILUTE_EXTRACT|QUARANTINE_COLD_CHAIN,"{""ACCEPT_REPORT"": 0.15, ""CLEANUP_INHIBITORS"": 3.45, ""DILUTE_EXTRACT"": 2.7, ""ESCALATE_SUPERVISOR"": 1.098, ""HOLD_REPORT"": 0.756, ""QUARANTINE_COLD_CHAIN"": 2.176, ""RECOLLECT_SAMPLE"": 0.612, ""RERUN_PCR"": 1.55}"
edna_raw_00033,farm_ditch,cyanobacteria_bloom,surface_water,algal_bloom_watch,overnight_hold,1,moraine,blank_contamination,none,easy,distractor,train,"The farm ditch chain packet describes a surface water bottle collected under algal bloom watch conditions for cyanobacteria bloom. field blank amplified with the same target as the sample No external source lookup is available to adjudicate the record. The lab needs a ranked remediation plan, not just a pass/fail disposition.",REVIEW_BLANKS|REJECT_CONTAMINATION|HOLD_REPORT,"{""ACCEPT_REPORT"": 0.15, ""ESCALATE_SUPERVISOR"": 0.95, ""HOLD_REPORT"": 1.2, ""REJECT_CONTAMINATION"": 2.55, ""REVIEW_BLANKS"": 3.2}"
edna_raw_00034,coastal_marsh,invasive_carp,biofilm_swab,baseflow,overnight_hold,9,moraine,temp_excursion,none,medium,plain,train,"Field team moraine logged a biofilm swab eDNA sample from the coastal marsh program for the invasive carp panel. ice pack was spent and the receipt temperature was outside the eDNA hold range The lab needs a ranked remediation plan, not just a pass/fail disposition.",QUARANTINE_COLD_CHAIN|HOLD_REPORT|ESCALATE_SUPERVISOR,"{""ACCEPT_REPORT"": 0.15, ""DILUTE_EXTRACT"": 0.2, ""ESCALATE_SUPERVISOR"": 1.1, ""HOLD_REPORT"": 1.3, ""QUARANTINE_COLD_CHAIN"": 3.2, ""RECOLLECT_SAMPLE"": 0.9, ""REVIEW_BLANKS"": 0.08}"
